20/11/2018,0,0
13/12/2018,482,23
14/12/2018,508,24
15/01/2019,894,56
28/01/2019,1116,69
07/02/2019,1316,79
14/02/2019,1474,86
20/02/2019,1596,92
05/03/2019,1892,105
11/03/2019,2002,111
19/03/2019,2184,119
27/03/2019,2359,127
01/04/2019,2442,132
03/04/2019,2514,134
08/04/2019,2600,139
12/04/2019,2699,143
25/04/2019,2900,156
01/05/2019,3009,162
07/05/2019,3125,168
13/05/2019,3273,174
20/05/2019,3449,181
30/05/2019,3696,191
04/06/2019,3809,196
11/06/2019,3990,203
17/06/2019,4120,209
24/06/2019,4287,216
01/07/2019,4431,223
08/07/2019,4606,230
15/07/2019,4772,237
05/08/2019,5455,258
14/08/2019,5770,267
28/08/2019,6036,281
05/09/2019,6237,289
16/09/2019,6510,300
